id,question,reference,expected_doc_ids,note
R1,무당벌레는 어디서 잡을 수 있어?,무당벌레는 나무 기둥에 나타나며 출현 시간대는 PM 5시부터 AM 8시까지입니다. 판매가는 8000벨입니다.,I-031,도감 단일 종 상세
R2,납줄개는 어디서 낚을 수 있어?,납줄개는 강에 나타나는 물고기이며 그림자 크기는 가장 작음입니다. 출현 시간대는 PM 4시부터 AM 9시까지이고 판매가는 1500벨입니다.,F-001,물고기 단일 종 상세
R3,쭈니는 어떤 주민이야?,쭈니는 다람쥐 주민이며 성격은 느끼함입니다. 생일은 9월 29일이고 좋아하는 색은 화이트입니다.,V-02,주민 프로필
R4,1호는 어떤 주민이야?,1호는 고양이 주민이며 성격은 운동광입니다. 생일은 8월 1일이고 좋아하는 색은 레드입니다.,V-16,이름이 숫자인 주민 · 하이브리드 검색 확인
R5,아폴로는 무슨 종족이고 성격이 뭐야?,아폴로는 독수리 주민이며 성격은 무뚝뚝입니다. 생일은 7월 4일이고 좋아하는 색은 블랙입니다.,V-20,주민 프로필
R6,늑대 주민 누구누구 있어?,늑대 주민은 시베리아 비앙카 모니카 대장 릴리 다섯 명입니다.,V-06;V-07;V-14;V-17;V-18,구조화 필터 다건
R7,9월에 생일인 주민 있어?,9월에 생일인 주민은 비앙카 9월 17일 애플 9월 24일 쭈니 9월 29일 세 명입니다.,V-04;V-07;V-02,구조화 필터 다건
R8,무뚝뚝 성격 주민은 어떤 선물을 좋아해?,무뚝뚝 성격은 앤티크나 클래식 계열 가구 차분한 무채색 의류 낚싯대 같은 도구류를 좋아합니다. 알록달록하고 귀여운 소품이나 인형류는 피하는 것이 좋습니다.,P-05,성격 가이드
R9,먹보 성격 주민한테 주면 안 되는 선물은?,먹보 성격 주민에게는 운동기구와 격식 있는 정장을 피하는 것이 좋습니다.,P-06,성격 가이드 · 기피 선물
R10,주민에게 선물할 때 반응을 더 좋게 하는 방법이 있어?,주민이 좋아하는 색과 같은 색 아이템이면 반응이 한 단계 더 좋아집니다. 생일 당일에 주는 선물은 친밀도가 크게 오르고 포장지에 싸서 주면 추가로 친밀도가 오릅니다.,P-00,공통 규칙 문서
